Gmt time,Open,High,Low,Close,Volume
26.03.2025 00:00:00.000,1.44182,1.44182,1.44178,1.44178,7080.000199999999
26.03.2025 00:00:01.000,1.44174,1.44176,1.44172,1.44173,11520.000199999999
26.03.2025 00:00:02.000,1.44174,1.44174,1.44174,1.44174,2280
26.03.2025 00:00:03.000,1.44169,1.44169,1.44169,1.44169,1200
26.03.2025 00:00:04.000,1.44173,1.44173,1.44173,1.44173,1200
26.03.2025 00:00:05.000,1.44172,1.44172,1.44172,1.44172,1200
26.03.2025 00:00:06.000,1.44174,1.44174,1.44174,1.44174,1080
26.03.2025 00:00:07.000,1.44174,1.44174,1.44174,1.44174,1080
26.03.2025 00:00:08.000,1.44174,1.44174,1.44174,1.44174,1080
26.03.2025 00:00:09.000,1.44174,1.44174,1.44174,1.44174,1080
26.03.2025 00:00:10.000,1.44166,1.44166,1.44166,1.44166,1200
26.03.2025 00:00:11.000,1.44166,1.44166,1.44166,1.44166,1200
26.03.2025 00:00:12.000,1.44170,1.44170,1.44170,1.44170,1200
26.03.2025 00:00:13.000,1.44170,1.44170,1.44170,1.44170,1200
26.03.2025 00:00:14.000,1.44166,1.44166,1.44165,1.44165,4050
26.03.2025 00:00:15.000,1.44167,1.44167,1.44167,1.44167,3240
26.03.2025 00:00:16.000,1.44166,1.44166,1.44166,1.44166,1440.0001
26.03.2025 00:00:17.000,1.44162,1.44162,1.44162,1.44162,1350
26.03.2025 00:00:18.000,1.44165,1.44165,1.44165,1.44165,1350
26.03.2025 00:00:19.000,1.44165,1.44165,1.44161,1.44161,2940
26.03.2025 00:00:20.000,1.44165,1.44165,1.44161,1.44161,2940
26.03.2025 00:00:21.000,1.44159,1.44159,1.44159,1.44159,1080
26.03.2025 00:00:22.000,1.44159,1.44159,1.44159,1.44159,1080
26.03.2025 00:00:23.000,1.44161,1.44161,1.44161,1.44161,1080
26.03.2025 00:00:24.000,1.44162,1.44162,1.44162,1.44162,2940
26.03.2025 00:00:25.000,1.44164,1.44164,1.44164,1.44164,1920
26.03.2025 00:00:26.000,1.44164,1.44164,1.44164,1.44164,1920
26.03.2025 00:00:27.000,1.44164,1.44164,1.44164,1.44164,1920
26.03.2025 00:00:28.000,1.44164,1.44164,1.44164,1.44164,1920
26.03.2025 00:00:29.000,1.44164,1.44164,1.44164,1.44164,1920
26.03.2025 00:00:30.000,1.44160,1.44160,1.44158,1.44158,2910.0000999999997
26.03.2025 00:00:31.000,1.44159,1.44159,1.44159,1.44159,1470
26.03.2025 00:00:32.000,1.44157,1.44157,1.44157,1.44157,3720
26.03.2025 00:00:33.000,1.44157,1.44157,1.44152,1.44152,2940
26.03.2025 00:00:34.000,1.44149,1.44149,1.44149,1.44149,1350
26.03.2025 00:00:35.000,1.44155,1.44155,1.44150,1.44150,3240.0001
26.03.2025 00:00:36.000,1.44150,1.44150,1.44150,1.44150,1920
26.03.2025 00:00:37.000,1.44148,1.44148,1.44148,1.44148,1320.0001
26.03.2025 00:00:38.000,1.44149,1.44149,1.44148,1.44148,3600
26.03.2025 00:00:39.000,1.44149,1.44149,1.44148,1.44148,3600
26.03.2025 00:00:40.000,1.44149,1.44149,1.44148,1.44148,3600
26.03.2025 00:00:41.000,1.44150,1.44150,1.44150,1.44150,1200
26.03.2025 00:00:42.000,1.44152,1.44152,1.44151,1.44151,2910.0000999999997
26.03.2025 00:00:43.000,1.44153,1.44153,1.44153,1.44153,1890
26.03.2025 00:00:44.000,1.44153,1.44153,1.44153,1.44153,2940
26.03.2025 00:00:45.000,1.44152,1.44171,1.44152,1.44171,14909.999699999998
26.03.2025 00:00:46.000,1.44175,1.44175,1.44175,1.44175,1350
26.03.2025 00:00:47.000,1.44182,1.44182,1.44182,1.44182,1559.9999
26.03.2025 00:00:48.000,1.44182,1.44182,1.44182,1.44182,1559.9999
26.03.2025 00:00:49.000,1.44177,1.44177,1.44177,1.44177,1440.0001
26.03.2025 00:00:50.000,1.44176,1.44177,1.44176,1.44177,4620
26.03.2025 00:00:51.000,1.44172,1.44172,1.44172,1.44172,1200
26.03.2025 00:00:52.000,1.44176,1.44176,1.44176,1.44176,1080
26.03.2025 00:00:53.000,1.44178,1.44178,1.44178,1.44178,1080
26.03.2025 00:00:54.000,1.44178,1.44178,1.44178,1.44178,1080
26.03.2025 00:00:55.000,1.44178,1.44178,1.44178,1.44178,1080
26.03.2025 00:00:56.000,1.44178,1.44178,1.44178,1.44178,1080
26.03.2025 00:00:57.000,1.44178,1.44178,1.44178,1.44178,1080
26.03.2025 00:00:58.000,1.44178,1.44178,1.44178,1.44178,1679.9999
26.03.2025 00:00:59.000,1.44178,1.44178,1.44178,1.44178,1679.9999
26.03.2025 00:01:00.000,1.44176,1.44176,1.44176,1.44176,1559.9999
26.03.2025 00:01:01.000,1.44169,1.44169,1.44169,1.44169,1200
26.03.2025 00:01:02.000,1.44169,1.44169,1.44169,1.44169,1200
26.03.2025 00:01:03.000,1.44177,1.44177,1.44177,1.44177,1080
26.03.2025 00:01:04.000,1.44179,1.44179,1.44179,1.44179,1080
26.03.2025 00:01:05.000,1.44178,1.44178,1.44178,1.44178,1890
26.03.2025 00:01:06.000,1.44178,1.44178,1.44178,1.44178,4439.9998
