Gmt time,Open,High,Low,Close,Volume
26.03.2025 00:00:00.000,1.07894,1.07894,1.07888,1.07888,9899.999999999998
26.03.2025 00:00:01.000,1.07888,1.07888,1.07886,1.07886,8100
26.03.2025 00:00:02.000,1.07886,1.07886,1.07886,1.07886,2700
26.03.2025 00:00:03.000,1.07887,1.07887,1.07886,1.07887,12599.999899999999
26.03.2025 00:00:04.000,1.07886,1.07888,1.07886,1.07888,2700
26.03.2025 00:00:05.000,1.07886,1.07888,1.07886,1.07888,2700
26.03.2025 00:00:06.000,1.07886,1.07886,1.07886,1.07886,2700
26.03.2025 00:00:07.000,1.07886,1.07886,1.07886,1.07886,2700
26.03.2025 00:00:08.000,1.07887,1.07887,1.07887,1.07887,4500.000000000001
26.03.2025 00:00:09.000,1.07887,1.07887,1.07887,1.07887,900
26.03.2025 00:00:10.000,1.07885,1.07885,1.07885,1.07885,1800
26.03.2025 00:00:11.000,1.07885,1.07885,1.07885,1.07885,3780
26.03.2025 00:00:12.000,1.07885,1.07885,1.07885,1.07885,3780
26.03.2025 00:00:13.000,1.07887,1.07887,1.07887,1.07887,1890
26.03.2025 00:00:14.000,1.07888,1.07889,1.07885,1.07885,7560
26.03.2025 00:00:15.000,1.07883,1.07885,1.07883,1.07885,3780
26.03.2025 00:00:16.000,1.07884,1.07884,1.07884,1.07884,1890
26.03.2025 00:00:17.000,1.07886,1.07886,1.07886,1.07886,1890
26.03.2025 00:00:18.000,1.07884,1.07884,1.07884,1.07884,1890
26.03.2025 00:00:19.000,1.07884,1.07884,1.07882,1.07882,3780
26.03.2025 00:00:20.000,1.07884,1.07884,1.07884,1.07884,2790
26.03.2025 00:00:21.000,1.07884,1.07884,1.07884,1.07884,2790
26.03.2025 00:00:22.000,1.07884,1.07884,1.07884,1.07884,2790
26.03.2025 00:00:23.000,1.07884,1.07884,1.07884,1.07884,2790
26.03.2025 00:00:24.000,1.07884,1.07884,1.07884,1.07884,2790
26.03.2025 00:00:25.000,1.07884,1.07884,1.07884,1.07884,2790
26.03.2025 00:00:26.000,1.07884,1.07884,1.07884,1.07884,2790
26.03.2025 00:00:27.000,1.07884,1.07884,1.07884,1.07884,2790
26.03.2025 00:00:28.000,1.07884,1.07884,1.07884,1.07884,2790
26.03.2025 00:00:29.000,1.07884,1.07884,1.07884,1.07884,2790
26.03.2025 00:00:30.000,1.07884,1.07884,1.07884,1.07884,2790
26.03.2025 00:00:31.000,1.07884,1.07884,1.07879,1.07879,6570
26.03.2025 00:00:32.000,1.07878,1.07880,1.07878,1.07880,3780
26.03.2025 00:00:33.000,1.07876,1.07877,1.07876,1.07877,3780
26.03.2025 00:00:34.000,1.07876,1.07877,1.07876,1.07877,3780
26.03.2025 00:00:35.000,1.07875,1.07875,1.07873,1.07874,7560
26.03.2025 00:00:36.000,1.07874,1.07874,1.07874,1.07874,1890
26.03.2025 00:00:37.000,1.07874,1.07874,1.07874,1.07874,1890
26.03.2025 00:00:38.000,1.07875,1.07875,1.07873,1.07875,5580
26.03.2025 00:00:39.000,1.07874,1.07875,1.07874,1.07875,1800
26.03.2025 00:00:40.000,1.07875,1.07876,1.07875,1.07876,1350
26.03.2025 00:00:41.000,1.07876,1.07876,1.07876,1.07876,900
26.03.2025 00:00:42.000,1.07876,1.07876,1.07876,1.07876,900
26.03.2025 00:00:43.000,1.07876,1.07876,1.07876,1.07876,900
26.03.2025 00:00:44.000,1.07876,1.07877,1.07876,1.07876,2700
26.03.2025 00:00:45.000,1.07876,1.07898,1.07876,1.07898,18090.0001
26.03.2025 00:00:46.000,1.07876,1.07898,1.07876,1.07898,18090.0001
26.03.2025 00:00:47.000,1.07897,1.07897,1.07897,1.07897,900
26.03.2025 00:00:48.000,1.07894,1.07894,1.07894,1.07894,900
26.03.2025 00:00:49.000,1.07894,1.07894,1.07894,1.07894,900
26.03.2025 00:00:50.000,1.07894,1.07896,1.07893,1.07893,4949.999999999999
26.03.2025 00:00:51.000,1.07893,1.07893,1.07893,1.07893,900
26.03.2025 00:00:52.000,1.07893,1.07893,1.07893,1.07893,900
26.03.2025 00:00:53.000,1.07893,1.07893,1.07893,1.07893,900
26.03.2025 00:00:54.000,1.07893,1.07893,1.07893,1.07893,900
26.03.2025 00:00:55.000,1.07893,1.07893,1.07893,1.07893,900
26.03.2025 00:00:56.000,1.07893,1.07893,1.07893,1.07893,900
26.03.2025 00:00:57.000,1.07893,1.07893,1.07893,1.07893,900
26.03.2025 00:00:58.000,1.07893,1.07893,1.07893,1.07893,900
26.03.2025 00:00:59.000,1.07893,1.07894,1.07893,1.07893,2700
26.03.2025 00:01:00.000,1.07894,1.07894,1.07891,1.07891,5400
26.03.2025 00:01:01.000,1.07890,1.07890,1.07890,1.07890,120
26.03.2025 00:01:02.000,1.07892,1.07893,1.07892,1.07893,240
26.03.2025 00:01:03.000,1.07892,1.07893,1.07892,1.07893,240
26.03.2025 00:01:04.000,1.07892,1.07893,1.07892,1.07893,240
26.03.2025 00:01:05.000,1.07892,1.07893,1.07892,1.07893,240
26.03.2025 00:01:06.000,1.07893,1.07893,1.07890,1.07890,1110
26.03.2025 00:01:07.000,1.07893,1.07893,1.07890,1.07890,1110
26.03.2025 00:01:08.000,1.07893,1.07893,1.07890,1.07890,1110
26.03.2025 00:01:09.000,1.07893,1.07893,1.07890,1.07890,1110
26.03.2025 00:01:10.000,1.07893,1.07893,1.07890,1.07890,1110
26.03.2025 00:01:11.000,1.07893,1.07893,1.07890,1.07890,1110
26.03.2025 00:01:12.000,1.07893,1.07893,1.07890,1.07890,1110
26.03.2025 00:01:13.000,1.07890,1.07890,1.07887,1.07889,2340
26.03.2025 00:01:14.000,1.07890,1.07890,1.07887,1.07889,2340
26.03.2025 00:01:15.000,1.07891,1.07891,1.07889,1.07891,2970
26.03.2025 00:01:16.000,1.07891,1.07891,1.07889,1.07891,2970
26.03.2025 00:01:17.000,1.07891,1.07891,1.07891,1.07891,1890
26.03.2025 00:01:18.000,1.07891,1.07891,1.07891,1.07891,1890
26.03.2025 00:01:19.000,1.07892,1.07892,1.07892,1.07892,900
26.03.2025 00:01:20.000,1.07892,1.07892,1.07891,1.07891,2700
26.03.2025 00:01:21.000,1.07891,1.07892,1.07891,1.07892,1800
26.03.2025 00:01:22.000,1.07891,1.07891,1.07891,1.07891,900
26.03.2025 00:01:23.000,1.07893,1.07893,1.07892,1.07892,1800
26.03.2025 00:01:24.000,1.07892,1.07892,1.07890,1.07890,2700
26.03.2025 00:01:25.000,1.07892,1.07896,1.07892,1.07896,1800
26.03.2025 00:01:26.000,1.07894,1.07895,1.07894,1.07895,1800
26.03.2025 00:01:27.000,1.07892,1.07892,1.07892,1.07892,900
26.03.2025 00:01:28.000,1.07892,1.07892,1.07892,1.07892,900
26.03.2025 00:01:29.000,1.07892,1.07892,1.07892,1.07892,900
26.03.2025 00:01:30.000,1.07892,1.07892,1.07892,1.07892,900
26.03.2025 00:01:31.000,1.07892,1.07892,1.07892,1.07892,900
26.03.2025 00:01:32.000,1.07893,1.07893,1.07893,1.07893,900
26.03.2025 00:01:33.000,1.07893,1.07893,1.07893,1.07893,1800
26.03.2025 00:01:34.000,1.07895,1.07895,1.07895,1.07895,1800
26.03.2025 00:01:35.000,1.07894,1.07895,1.07894,1.07895,1800
26.03.2025 00:01:36.000,1.07894,1.07895,1.07894,1.07895,1800
26.03.2025 00:01:37.000,1.07894,1.07895,1.07894,1.07895,1800
26.03.2025 00:01:38.000,1.07894,1.07895,1.07894,1.07895,1800
26.03.2025 00:01:39.000,1.07894,1.07894,1.07894,1.07894,900
26.03.2025 00:01:40.000,1.07892,1.07892,1.07890,1.07891,2879.9999999999995
26.03.2025 00:01:41.000,1.07888,1.07889,1.07888,1.07889,240
26.03.2025 00:01:42.000,1.07888,1.07888,1.07888,1.07888,120
26.03.2025 00:01:43.000,1.07888,1.07888,1.07888,1.07888,120
26.03.2025 00:01:44.000,1.07888,1.07888,1.07888,1.07888,120
26.03.2025 00:01:45.000,1.07891,1.07893,1.07891,1.07893,990
26.03.2025 00:01:46.000,1.07894,1.07894,1.07894,1.07894,540
26.03.2025 00:01:47.000,1.07894,1.07894,1.07894,1.07894,120
26.03.2025 00:01:48.000,1.07894,1.07894,1.07894,1.07894,120
26.03.2025 00:01:49.000,1.07894,1.07894,1.07894,1.07894,120
26.03.2025 00:01:50.000,1.07891,1.07891,1.07889,1.07890,1140.0000000000002
26.03.2025 00:01:51.000,1.07891,1.07891,1.07890,1.07891,4050
26.03.2025 00:01:52.000,1.07891,1.07891,1.07890,1.07891,4050
26.03.2025 00:01:53.000,1.07891,1.07891,1.07890,1.07891,4050
26.03.2025 00:01:54.000,1.07891,1.07891,1.07890,1.07891,4050
26.03.2025 00:01:55.000,1.07890,1.07891,1.07890,1.07891,3150
26.03.2025 00:01:56.000,1.07890,1.07891,1.07890,1.07891,3150
26.03.2025 00:01:57.000,1.07890,1.07891,1.07890,1.07891,3150
26.03.2025 00:01:58.000,1.07890,1.07891,1.07890,1.07891,3150
26.03.2025 00:01:59.000,1.07893,1.07895,1.07893,1.07895,2250.0000000000005
26.03.2025 00:02:00.000,1.07893,1.07895,1.07893,1.07895,2250.0000000000005
26.03.2025 00:02:01.000,1.07894,1.07894,1.07894,1.07894,900
26.03.2025 00:02:02.000,1.07894,1.07894,1.07893,1.07893,1800
26.03.2025 00:02:03.000,1.07893,1.07894,1.07893,1.07894,1800
26.03.2025 00:02:04.000,1.07893,1.07894,1.07893,1.07894,1800
26.03.2025 00:02:05.000,1.07893,1.07894,1.07893,1.07894,1800
26.03.2025 00:02:06.000,1.07895,1.07895,1.07895,1.07895,900
26.03.2025 00:02:07.000,1.07895,1.07895,1.07895,1.07895,900
