========== FOREX ARBITRAGE DETECTOR (OPENMP) ==========

Threads: 8 (max available 8)
Currencies: AUD CAD EUR GBP JPY SGD USD
Pairs: 19

Loaded 86400 aligned timestamps across 19 pairs.

====== SINGLE TIMESTAMP ANALYSIS ======
t0 currencies=7 edges=38
No arbitrage at first timestamp.

====== TIME SERIES ANALYSIS ======

===== ARBITRAGE OPPORTUNITIES (680) =====
ts=83667000 profit=0.003786%  cycle=JPY->SGD->USD->CAD->JPY
ts=83668000 profit=0.003086%  cycle=JPY->SGD->USD->CAD->JPY
ts=83669000 profit=0.003086%  cycle=JPY->SGD->USD->CAD->JPY
ts=83670000 profit=0.000550%  cycle=USD->JPY->SGD->USD
ts=83671000 profit=0.000765%  cycle=JPY->SGD->USD->CAD->JPY
ts=83673000 profit=0.001791%  cycle=USD->CAD->JPY->SGD->USD
ts=83674000 profit=0.002683%  cycle=USD->CAD->JPY->SGD->USD
ts=83675000 profit=0.000600%  cycle=JPY->SGD->USD->JPY
ts=83676000 profit=0.000600%  cycle=JPY->SGD->USD->JPY
ts=83677000 profit=0.001265%  cycle=USD->JPY->SGD->USD
ts=83678000 profit=0.001265%  cycle=USD->JPY->SGD->USD
ts=83679000 profit=0.001265%  cycle=USD->JPY->SGD->USD
ts=83680000 profit=0.001265%  cycle=USD->JPY->SGD->USD
ts=83681000 profit=0.001832%  cycle=JPY->SGD->USD->JPY
ts=83694000 profit=0.000089%  cycle=USD->CAD->JPY->SGD->USD
ts=83695000 profit=0.000089%  cycle=USD->CAD->JPY->SGD->USD
ts=83696000 profit=0.001041%  cycle=USD->CAD->JPY->SGD->USD
ts=83698000 profit=0.000089%  cycle=USD->CAD->JPY->SGD->USD
ts=83699000 profit=0.000066%  cycle=JPY->SGD->USD->JPY
ts=83700000 profit=0.000136%  cycle=USD->CAD->JPY->SGD->USD
ts=83701000 profit=0.001293%  cycle=USD->CAD->JPY->SGD->USD
ts=83702000 profit=0.000593%  cycle=USD->CAD->JPY->SGD->USD
ts=83703000 profit=0.001979%  cycle=SGD->USD->CAD->JPY->SGD
ts=83704000 profit=0.000442%  cycle=USD->CAD->JPY->SGD->USD
ts=83705000 profit=0.000442%  cycle=USD->CAD->JPY->SGD->USD
ts=83711000 profit=0.000547%  cycle=USD->CAD->JPY->SGD->USD
ts=83715000 profit=0.000740%  cycle=USD->CAD->JPY->SGD->USD
ts=83716000 profit=0.000488%  cycle=USD->CAD->JPY->SGD->USD
ts=83717000 profit=0.000488%  cycle=USD->CAD->JPY->SGD->USD
ts=83718000 profit=0.000488%  cycle=USD->CAD->JPY->SGD->USD
ts=83719000 profit=0.000488%  cycle=USD->CAD->JPY->SGD->USD
ts=83720000 profit=0.000488%  cycle=USD->CAD->JPY->SGD->USD
ts=83721000 profit=0.000488%  cycle=USD->CAD->JPY->SGD->USD
ts=83737000 profit=0.001598%  cycle=USD->CAD->JPY->SGD->USD
ts=83738000 profit=0.002092%  cycle=USD->CAD->JPY->SGD->USD
ts=83739000 profit=0.000189%  cycle=USD->CAD->JPY->SGD->USD
ts=83740000 profit=0.000888%  cycle=USD->CAD->JPY->SGD->USD
ts=83741000 profit=0.000888%  cycle=USD->CAD->JPY->SGD->USD
ts=83742000 profit=0.000888%  cycle=USD->CAD->JPY->SGD->USD
ts=83747000 profit=0.003459%  cycle=SGD->USD->CAD->JPY->SGD
ts=83758000 profit=0.001572%  cycle=USD->CAD->JPY->SGD->USD
ts=83789000 profit=0.001112%  cycle=USD->CAD->JPY->SGD->USD
ts=83790000 profit=0.001112%  cycle=USD->CAD->JPY->SGD->USD
ts=83791000 profit=0.001112%  cycle=USD->CAD->JPY->SGD->USD
ts=83792000 profit=0.000220%  cycle=USD->CAD->JPY->SGD->USD
ts=83793000 profit=0.000220%  cycle=USD->CAD->JPY->SGD->USD
ts=83794000 profit=0.000919%  cycle=USD->CAD->JPY->SGD->USD
ts=83795000 profit=0.000919%  cycle=USD->CAD->JPY->SGD->USD
ts=83796000 profit=0.000919%  cycle=USD->CAD->JPY->SGD->USD
ts=83797000 profit=0.000919%  cycle=USD->CAD->JPY->SGD->USD
ts=83798000 profit=0.000919%  cycle=SGD->USD->CAD->JPY->SGD
ts=83799000 profit=0.000919%  cycle=USD->CAD->JPY->SGD->USD
ts=83800000 profit=0.000919%  cycle=USD->CAD->JPY->SGD->USD
ts=83801000 profit=0.000919%  cycle=USD->CAD->JPY->SGD->USD
ts=83802000 profit=0.000919%  cycle=USD->CAD->JPY->SGD->USD
ts=83813000 profit=0.000770%  cycle=USD->CAD->JPY->SGD->USD
ts=83814000 profit=0.000071%  cycle=USD->CAD->JPY->SGD->USD
ts=83815000 profit=0.000071%  cycle=USD->CAD->JPY->SGD->USD
ts=83817000 profit=0.001814%  cycle=USD->CAD->JPY->SGD->USD
ts=83818000 profit=0.003968%  cycle=USD->CAD->JPY->SGD->USD
ts=83819000 profit=0.003269%  cycle=USD->CAD->JPY->SGD->USD
ts=83820000 profit=0.003968%  cycle=USD->CAD->JPY->SGD->USD
ts=83821000 profit=0.003968%  cycle=USD->CAD->JPY->SGD->USD
ts=83822000 profit=0.003968%  cycle=USD->CAD->JPY->SGD->USD
ts=83823000 profit=0.001608%  cycle=USD->CAD->JPY->SGD->USD
ts=83825000 profit=0.000369%  cycle=USD->CAD->JPY->SGD->USD
ts=83826000 profit=0.000369%  cycle=USD->CAD->JPY->SGD->USD
ts=83827000 profit=0.000369%  cycle=USD->CAD->JPY->SGD->USD
ts=83828000 profit=0.000369%  cycle=USD->CAD->JPY->SGD->USD
ts=83829000 profit=0.000369%  cycle=USD->CAD->JPY->SGD->USD
ts=83830000 profit=0.000369%  cycle=USD->CAD->JPY->SGD->USD
ts=83831000 profit=0.003040%  cycle=CAD->JPY->SGD->USD->CAD
ts=83832000 profit=0.000132%  cycle=JPY->USD->CAD->JPY
ts=83833000 profit=0.000132%  cycle=JPY->USD->CAD->JPY
ts=83834000 profit=0.001084%  cycle=JPY->USD->CAD->JPY
ts=83835000 profit=0.002482%  cycle=USD->CAD->JPY->USD
ts=83836000 profit=0.001903%  cycle=USD->CAD->JPY->SGD->USD
ts=83837000 profit=0.002345%  cycle=USD->CAD->JPY->SGD->USD
ts=83838000 profit=0.002345%  cycle=USD->CAD->JPY->SGD->USD
ts=83839000 profit=0.002345%  cycle=USD->CAD->JPY->SGD->USD
ts=83840000 profit=0.002345%  cycle=USD->CAD->JPY->SGD->USD
ts=83841000 profit=0.002345%  cycle=USD->CAD->JPY->SGD->USD
ts=83842000 profit=0.002345%  cycle=USD->CAD->JPY->SGD->USD
ts=83843000 profit=0.002345%  cycle=USD->CAD->JPY->SGD->USD
ts=83844000 profit=0.002345%  cycle=USD->CAD->JPY->SGD->USD
ts=83845000 profit=0.002345%  cycle=USD->CAD->JPY->SGD->USD
ts=83846000 profit=0.002093%  cycle=USD->CAD->JPY->SGD->USD
ts=83847000 profit=0.002093%  cycle=CAD->JPY->SGD->USD->CAD
ts=83848000 profit=0.002093%  cycle=CAD->JPY->SGD->USD->CAD
ts=83849000 profit=0.002093%  cycle=CAD->JPY->SGD->USD->CAD
ts=83850000 profit=0.001511%  cycle=JPY->USD->CAD->JPY
ts=83851000 profit=0.001511%  cycle=USD->CAD->JPY->USD
ts=83852000 profit=0.001511%  cycle=JPY->USD->CAD->JPY
ts=83853000 profit=0.001511%  cycle=JPY->USD->CAD->JPY
ts=83854000 profit=0.001511%  cycle=JPY->USD->CAD->JPY
ts=83855000 profit=0.001511%  cycle=JPY->USD->CAD->JPY
ts=83856000 profit=0.001511%  cycle=JPY->USD->CAD->JPY
ts=83857000 profit=0.001511%  cycle=JPY->USD->CAD->JPY
ts=83858000 profit=0.001511%  cycle=JPY->USD->CAD->JPY
ts=83860000 profit=0.002287%  cycle=USD->CAD->JPY->SGD->USD
ts=83861000 profit=0.002986%  cycle=USD->CAD->JPY->SGD->USD
ts=83862000 profit=0.001084%  cycle=USD->CAD->JPY->SGD->USD
ts=83863000 profit=0.001084%  cycle=USD->CAD->JPY->SGD->USD
ts=83864000 profit=0.001084%  cycle=USD->CAD->JPY->SGD->USD
ts=83865000 profit=0.001084%  cycle=USD->CAD->JPY->SGD->USD
ts=83866000 profit=0.001084%  cycle=USD->CAD->JPY->SGD->USD
ts=83867000 profit=0.000132%  cycle=USD->CAD->JPY->SGD->USD
ts=83868000 profit=0.000132%  cycle=USD->CAD->JPY->SGD->USD
ts=83869000 profit=0.002271%  cycle=USD->CAD->JPY->SGD->USD
ts=83870000 profit=0.001130%  cycle=USD->CAD->JPY->SGD->USD
ts=83871000 profit=0.001829%  cycle=USD->CAD->JPY->SGD->USD
ts=83872000 profit=0.001829%  cycle=USD->CAD->JPY->SGD->USD
ts=83873000 profit=0.001829%  cycle=USD->CAD->JPY->SGD->USD
ts=83874000 profit=0.001829%  cycle=USD->CAD->JPY->SGD->USD
ts=83875000 profit=0.001829%  cycle=USD->CAD->JPY->SGD->USD
ts=83876000 profit=0.001829%  cycle=USD->CAD->JPY->SGD->USD
ts=83877000 profit=0.001829%  cycle=USD->CAD->JPY->SGD->USD
ts=83878000 profit=0.001829%  cycle=USD->CAD->JPY->SGD->USD
ts=83879000 profit=0.001829%  cycle=USD->CAD->JPY->SGD->USD
ts=83880000 profit=0.001423%  cycle=USD->CAD->JPY->SGD->USD
ts=83881000 profit=0.000724%  cycle=USD->CAD->JPY->SGD->USD
ts=83882000 profit=0.000665%  cycle=USD->CAD->JPY->SGD->USD
ts=83883000 profit=0.000665%  cycle=USD->CAD->JPY->SGD->USD
ts=83884000 profit=0.000837%  cycle=USD->CAD->JPY->SGD->USD
ts=83885000 profit=0.000837%  cycle=USD->CAD->JPY->SGD->USD
ts=83886000 profit=0.003220%  cycle=USD->CAD->JPY->SGD->USD
ts=83887000 profit=0.002328%  cycle=USD->CAD->JPY->SGD->USD
ts=83888000 profit=0.002328%  cycle=USD->CAD->JPY->SGD->USD
ts=83889000 profit=0.002035%  cycle=USD->CAD->JPY->SGD->USD
ts=83890000 profit=0.002035%  cycle=USD->CAD->JPY->SGD->USD
ts=83891000 profit=0.002035%  cycle=USD->CAD->JPY->SGD->USD
ts=83892000 profit=0.002035%  cycle=USD->CAD->JPY->SGD->USD
ts=83893000 profit=0.002035%  cycle=USD->CAD->JPY->SGD->USD
ts=83894000 profit=0.002035%  cycle=USD->CAD->JPY->SGD->USD
ts=83895000 profit=0.002035%  cycle=USD->CAD->JPY->SGD->USD
ts=83896000 profit=0.001801%  cycle=USD->CAD->JPY->SGD->USD
ts=83897000 profit=0.003451%  cycle=USD->CAD->JPY->SGD->USD
ts=83898000 profit=0.002053%  cycle=USD->CAD->JPY->SGD->USD
ts=83899000 profit=0.002053%  cycle=USD->CAD->JPY->SGD->USD
ts=83900000 profit=0.002053%  cycle=USD->CAD->JPY->SGD->USD
ts=83901000 profit=0.001102%  cycle=USD->CAD->JPY->SGD->USD
ts=83902000 profit=0.001102%  cycle=USD->CAD->JPY->SGD->USD
ts=83903000 profit=0.001102%  cycle=USD->CAD->JPY->SGD->USD
ts=83904000 profit=0.001102%  cycle=USD->CAD->JPY->SGD->USD
ts=83905000 profit=0.001102%  cycle=USD->CAD->JPY->SGD->USD
ts=83906000 profit=0.001801%  cycle=USD->CAD->JPY->SGD->USD
ts=83907000 profit=0.001801%  cycle=USD->CAD->JPY->SGD->USD
ts=83908000 profit=0.001801%  cycle=USD->CAD->JPY->SGD->USD
ts=83909000 profit=0.001801%  cycle=USD->CAD->JPY->SGD->USD
ts=83910000 profit=0.001801%  cycle=USD->CAD->JPY->SGD->USD
ts=83911000 profit=0.001801%  cycle=USD->CAD->JPY->SGD->USD
ts=83912000 profit=0.000403%  cycle=USD->CAD->JPY->SGD->USD
ts=83913000 profit=0.001295%  cycle=USD->CAD->JPY->SGD->USD
ts=83914000 profit=0.001295%  cycle=USD->CAD->JPY->SGD->USD
ts=83915000 profit=0.001295%  cycle=USD->CAD->JPY->SGD->USD
ts=83916000 profit=0.001215%  cycle=USD->CAD->JPY->SGD->USD
ts=83917000 profit=0.001215%  cycle=USD->CAD->JPY->SGD->USD
ts=83921000 profit=0.000273%  cycle=USD->CAD->JPY->SGD->USD
ts=83922000 profit=0.003070%  cycle=USD->CAD->JPY->SGD->USD
ts=83923000 profit=0.004469%  cycle=SGD->USD->CAD->JPY->SGD
ts=83924000 profit=0.004469%  cycle=SGD->USD->CAD->JPY->SGD
ts=83925000 profit=0.003266%  cycle=USD->CAD->JPY->SGD->USD
ts=83926000 profit=0.005616%  cycle=SGD->USD->CAD->JPY->SGD
ts=83927000 profit=0.004171%  cycle=SGD->USD->CAD->JPY->SGD
ts=83928000 profit=0.004171%  cycle=SGD->USD->CAD->JPY->SGD
ts=83929000 profit=0.003014%  cycle=USD->CAD->JPY->SGD->USD
ts=83930000 profit=0.003014%  cycle=USD->CAD->JPY->SGD->USD
ts=83931000 profit=0.003009%  cycle=USD->CAD->JPY->SGD->USD
ts=83932000 profit=0.003708%  cycle=USD->CAD->JPY->SGD->USD
ts=83933000 profit=0.003009%  cycle=USD->CAD->JPY->SGD->USD
ts=83934000 profit=0.006004%  cycle=JPY->SGD->USD->CAD->JPY
ts=83935000 profit=0.007642%  cycle=SGD->USD->CAD->JPY->SGD
ts=83936000 profit=0.007642%  cycle=SGD->USD->CAD->JPY->SGD
ts=83937000 profit=0.007642%  cycle=SGD->USD->CAD->JPY->SGD
ts=83938000 profit=0.008341%  cycle=USD->CAD->JPY->SGD->USD
ts=83939000 profit=0.009292%  cycle=USD->CAD->JPY->SGD->USD
ts=83940000 profit=0.002629%  cycle=JPY->SGD->USD->JPY
ts=83941000 profit=0.002629%  cycle=JPY->SGD->USD->JPY
ts=83942000 profit=0.002629%  cycle=JPY->SGD->USD->JPY
ts=83943000 profit=0.007701%  cycle=SGD->USD->CAD->JPY->SGD
ts=83944000 profit=0.007701%  cycle=SGD->USD->CAD->JPY->SGD
ts=83945000 profit=0.003067%  cycle=JPY->SGD->USD->JPY
ts=83946000 profit=0.003294%  cycle=JPY->SGD->USD->JPY
ts=83947000 profit=0.007783%  cycle=SGD->USD->CAD->JPY->SGD
ts=83948000 profit=0.007783%  cycle=SGD->USD->CAD->JPY->SGD
ts=83949000 profit=0.007783%  cycle=SGD->USD->CAD->JPY->SGD
