Gmt time,Open,High,Low,Close,Volume
26.03.2025 00:00:00.000,149.939,149.943,149.939,149.943,9000
26.03.2025 00:00:01.000,149.939,149.943,149.939,149.943,9000
26.03.2025 00:00:02.000,149.939,149.943,149.939,149.943,9000
26.03.2025 00:00:03.000,149.947,149.950,149.947,149.948,9000
26.03.2025 00:00:04.000,149.947,149.950,149.947,149.948,9000
26.03.2025 00:00:05.000,149.949,149.952,149.949,149.950,6600
26.03.2025 00:00:06.000,149.952,149.953,149.952,149.953,2400
26.03.2025 00:00:07.000,149.955,149.955,149.955,149.955,1200
26.03.2025 00:00:08.000,149.955,149.955,149.955,149.955,1200
26.03.2025 00:00:09.000,149.952,149.952,149.951,149.951,3150
26.03.2025 00:00:10.000,149.952,149.952,149.952,149.952,1800
26.03.2025 00:00:11.000,149.952,149.952,149.952,149.952,1800
26.03.2025 00:00:12.000,149.951,149.951,149.949,149.949,4200
26.03.2025 00:00:13.000,149.951,149.951,149.949,149.949,4200
26.03.2025 00:00:14.000,149.946,149.946,149.941,149.941,7350
26.03.2025 00:00:15.000,149.942,149.942,149.942,149.942,1200
26.03.2025 00:00:16.000,149.941,149.941,149.941,149.941,1200
26.03.2025 00:00:17.000,149.940,149.940,149.937,149.937,9000.0001
26.03.2025 00:00:18.000,149.939,149.940,149.939,149.940,3000
26.03.2025 00:00:19.000,149.941,149.941,149.941,149.941,1200
26.03.2025 00:00:20.000,149.940,149.940,149.938,149.940,6000
26.03.2025 00:00:21.000,149.940,149.940,149.938,149.940,6000
26.03.2025 00:00:22.000,149.940,149.940,149.938,149.940,6000
26.03.2025 00:00:23.000,149.939,149.939,149.939,149.939,1200
26.03.2025 00:00:24.000,149.939,149.939,149.938,149.938,3720
26.03.2025 00:00:25.000,149.939,149.939,149.938,149.938,3720
26.03.2025 00:00:26.000,149.939,149.939,149.938,149.938,3720
26.03.2025 00:00:27.000,149.939,149.939,149.939,149.939,1800
26.03.2025 00:00:28.000,149.939,149.939,149.939,149.939,1800
26.03.2025 00:00:29.000,149.939,149.939,149.939,149.939,1800
26.03.2025 00:00:30.000,149.938,149.938,149.928,149.928,8400
26.03.2025 00:00:31.000,149.929,149.930,149.929,149.930,4800
26.03.2025 00:00:32.000,149.929,149.930,149.929,149.930,4800
26.03.2025 00:00:33.000,149.929,149.929,149.929,149.929,3000
26.03.2025 00:00:34.000,149.929,149.929,149.929,149.929,3000
26.03.2025 00:00:35.000,149.930,149.930,149.929,149.929,3000
26.03.2025 00:00:36.000,149.928,149.928,149.927,149.927,28199.999999999996
26.03.2025 00:00:37.000,149.928,149.928,149.927,149.927,28199.999999999996
26.03.2025 00:00:38.000,149.928,149.929,149.928,149.929,2400
26.03.2025 00:00:39.000,149.929,149.929,149.928,149.928,3900
26.03.2025 00:00:40.000,149.929,149.929,149.929,149.929,1200
26.03.2025 00:00:41.000,149.929,149.929,149.929,149.929,1200
26.03.2025 00:00:42.000,149.929,149.929,149.927,149.927,13200
26.03.2025 00:00:43.000,149.929,149.929,149.927,149.927,13200
26.03.2025 00:00:44.000,149.926,149.926,149.899,149.903,32169.999999999996
26.03.2025 00:00:45.000,149.904,149.932,149.904,149.931,16139.999899999997
26.03.2025 00:00:46.000,149.930,149.930,149.918,149.919,7800
26.03.2025 00:00:47.000,149.919,149.919,149.919,149.919,3600
26.03.2025 00:00:48.000,149.917,149.921,149.917,149.921,4800
26.03.2025 00:00:49.000,149.921,149.921,149.921,149.921,4200
26.03.2025 00:00:50.000,149.920,149.933,149.918,149.933,12299.999999999998
26.03.2025 00:00:51.000,149.933,149.933,149.932,149.932,2400
26.03.2025 00:00:52.000,149.933,149.933,149.932,149.932,2400
26.03.2025 00:00:53.000,149.930,149.930,149.930,149.930,1800
26.03.2025 00:00:54.000,149.929,149.929,149.929,149.929,1800
26.03.2025 00:00:55.000,149.929,149.929,149.928,149.928,2400
26.03.2025 00:00:56.000,149.927,149.928,149.927,149.928,3900
26.03.2025 00:00:57.000,149.930,149.930,149.930,149.930,1200
26.03.2025 00:00:58.000,149.932,149.932,149.928,149.928,3600
26.03.2025 00:00:59.000,149.932,149.932,149.928,149.928,3600
26.03.2025 00:01:00.000,149.929,149.932,149.929,149.932,4800
26.03.2025 00:01:01.000,149.929,149.932,149.929,149.932,4800
26.03.2025 00:01:02.000,149.932,149.932,149.932,149.932,1200
26.03.2025 00:01:03.000,149.932,149.932,149.932,149.932,1200
26.03.2025 00:01:04.000,149.928,149.928,149.927,149.927,3600
26.03.2025 00:01:05.000,149.928,149.928,149.928,149.928,1200
26.03.2025 00:01:06.000,149.929,149.929,149.929,149.929,1200
26.03.2025 00:01:07.000,149.932,149.932,149.929,149.930,3720.0000999999997
26.03.2025 00:01:08.000,149.929,149.929,149.925,149.925,3000
26.03.2025 00:01:09.000,149.927,149.929,149.927,149.929,4289.999999999999
26.03.2025 00:01:10.000,149.927,149.927,149.926,149.926,5039.999999999999
26.03.2025 00:01:11.000,149.927,149.927,149.926,149.926,5039.999999999999
26.03.2025 00:01:12.000,149.927,149.927,149.926,149.926,5039.999999999999
26.03.2025 00:01:13.000,149.927,149.927,149.927,149.927,1440.0001
26.03.2025 00:01:14.000,149.927,149.927,149.927,149.927,1440.0001
26.03.2025 00:01:15.000,149.927,149.927,149.927,149.927,1440.0001
26.03.2025 00:01:16.000,149.927,149.927,149.927,149.927,1440.0001
26.03.2025 00:01:17.000,149.924,149.924,149.918,149.918,2400
26.03.2025 00:01:18.000,149.918,149.918,149.916,149.916,2400
26.03.2025 00:01:19.000,149.918,149.918,149.916,149.916,2400
26.03.2025 00:01:20.000,149.918,149.918,149.916,149.916,2400
26.03.2025 00:01:21.000,149.917,149.917,149.917,149.917,1320.0001
26.03.2025 00:01:22.000,149.917,149.917,149.917,149.917,1320.0001
26.03.2025 00:01:23.000,149.917,149.917,149.899,149.899,12759.999899999999
26.03.2025 00:01:24.000,149.897,149.906,149.897,149.905,10529.9999
26.03.2025 00:01:25.000,149.903,149.904,149.903,149.904,3720.0000999999997
26.03.2025 00:01:26.000,149.905,149.907,149.905,149.906,9000
26.03.2025 00:01:27.000,149.905,149.906,149.904,149.906,4800
26.03.2025 00:01:28.000,149.904,149.911,149.904,149.911,5040.000099999999
26.03.2025 00:01:29.000,149.910,149.910,149.908,149.908,3000
26.03.2025 00:01:30.000,149.906,149.906,149.906,149.906,1800
26.03.2025 00:01:31.000,149.906,149.906,149.906,149.906,1800
26.03.2025 00:01:32.000,149.908,149.908,149.908,149.908,1200
26.03.2025 00:01:33.000,149.909,149.909,149.908,149.908,2400
26.03.2025 00:01:34.000,149.909,149.909,149.908,149.908,2400
26.03.2025 00:01:35.000,149.909,149.909,149.908,149.908,2400
26.03.2025 00:01:36.000,149.909,149.909,149.908,149.908,2400
26.03.2025 00:01:37.000,149.910,149.911,149.910,149.911,2790.0001
26.03.2025 00:01:38.000,149.910,149.910,149.907,149.907,3120.0001
26.03.2025 00:01:39.000,149.910,149.910,149.907,149.907,3120.0001
26.03.2025 00:01:40.000,149.907,149.907,149.907,149.907,1200
26.03.2025 00:01:41.000,149.907,149.907,149.906,149.906,2400
26.03.2025 00:01:42.000,149.906,149.919,149.906,149.919,3600
26.03.2025 00:01:43.000,149.918,149.918,149.917,149.917,4800
26.03.2025 00:01:44.000,149.917,149.917,149.912,149.912,9300
26.03.2025 00:01:45.000,149.911,149.911,149.907,149.907,6900
26.03.2025 00:01:46.000,149.906,149.906,149.905,149.905,3000
26.03.2025 00:01:47.000,149.906,149.906,149.905,149.905,3000
26.03.2025 00:01:48.000,149.904,149.904,149.896,149.896,9750.000199999999
26.03.2025 00:01:49.000,149.904,149.904,149.896,149.896,9750.000199999999
26.03.2025 00:01:50.000,149.897,149.897,149.897,149.897,2400
26.03.2025 00:01:51.000,149.898,149.904,149.898,149.904,4800
26.03.2025 00:01:52.000,149.904,149.904,149.904,149.904,1200
26.03.2025 00:01:53.000,149.902,149.902,149.901,149.901,2400
26.03.2025 00:01:54.000,149.900,149.900,149.900,149.900,1200
26.03.2025 00:01:55.000,149.899,149.899,149.899,149.899,1200
26.03.2025 00:01:56.000,149.901,149.901,149.901,149.901,1200
26.03.2025 00:01:57.000,149.901,149.901,149.900,149.900,3900
26.03.2025 00:01:58.000,149.899,149.900,149.898,149.900,5999.999999999999
26.03.2025 00:01:59.000,149.899,149.899,149.899,149.899,1200
26.03.2025 00:02:00.000,149.900,149.900,149.900,149.900,3000
26.03.2025 00:02:01.000,149.899,149.899,149.897,149.897,2400
26.03.2025 00:02:02.000,149.899,149.899,149.897,149.897,2400
26.03.2025 00:02:03.000,149.899,149.899,149.897,149.897,2400
26.03.2025 00:02:04.000,149.899,149.899,149.897,149.897,2400
26.03.2025 00:02:05.000,149.899,149.899,149.897,149.897,2400
26.03.2025 00:02:06.000,149.899,149.899,149.897,149.897,2400
26.03.2025 00:02:07.000,149.899,149.899,149.897,149.897,2400
26.03.2025 00:02:08.000,149.897,149.897,149.897,149.897,1200
26.03.2025 00:02:09.000,149.897,149.897,149.897,149.897,1200
26.03.2025 00:02:10.000,149.896,149.896,149.895,149.895,5400
26.03.2025 00:02:11.000,149.896,149.896,149.889,149.889,10200
26.03.2025 00:02:12.000,149.890,149.890,149.889,149.889,5399.9999
26.03.2025 00:02:13.000,149.890,149.890,149.890,149.890,1200
26.03.2025 00:02:14.000,149.890,149.890,149.890,149.890,1200
26.03.2025 00:02:15.000,149.890,149.890,149.890,149.890,1200
26.03.2025 00:02:16.000,149.891,149.892,149.886,149.886,4720
26.03.2025 00:02:17.000,149.891,149.892,149.886,149.886,4720
26.03.2025 00:02:18.000,149.886,149.886,149.879,149.879,9610.0001
26.03.2025 00:02:19.000,149.877,149.878,149.877,149.878,6000
26.03.2025 00:02:20.000,149.880,149.881,149.880,149.881,2400
26.03.2025 00:02:21.000,149.881,149.881,149.881,149.881,1200
26.03.2025 00:02:22.000,149.881,149.881,149.881,149.881,2400
26.03.2025 00:02:23.000,149.881,149.881,149.881,149.881,1200
26.03.2025 00:02:24.000,149.881,149.881,149.881,149.881,4800
26.03.2025 00:02:25.000,149.883,149.886,149.883,149.884,7200
26.03.2025 00:02:26.000,149.883,149.891,149.883,149.884,7800
26.03.2025 00:02:27.000,149.885,149.885,149.884,149.884,2400
26.03.2025 00:02:28.000,149.883,149.883,149.883,149.883,4799.9999
26.03.2025 00:02:29.000,149.883,149.883,149.883,149.883,1200
26.03.2025 00:02:30.000,149.883,149.883,149.882,149.882,4800
26.03.2025 00:02:31.000,149.881,149.881,149.880,149.880,4800
26.03.2025 00:02:32.000,149.879,149.880,149.879,149.879,5040.0001
26.03.2025 00:02:33.000,149.879,149.879,149.879,149.879,5400
26.03.2025 00:02:34.000,149.880,149.880,149.880,149.880,2400
26.03.2025 00:02:35.000,149.880,149.880,149.880,149.880,3600
26.03.2025 00:02:36.000,149.880,149.880,149.880,149.880,3600
26.03.2025 00:02:37.000,149.880,149.880,149.880,149.880,1800
26.03.2025 00:02:38.000,149.880,149.880,149.880,149.880,1800
26.03.2025 00:02:39.000,149.881,149.881,149.880,149.880,4800
26.03.2025 00:02:40.000,149.881,149.881,149.880,149.880,4800
26.03.2025 00:02:41.000,149.881,149.881,149.880,149.880,4800
26.03.2025 00:02:42.000,149.881,149.881,149.880,149.880,4800
26.03.2025 00:02:43.000,149.879,149.879,149.879,149.879,1200
26.03.2025 00:02:44.000,149.880,149.880,149.880,149.880,4800
26.03.2025 00:02:45.000,149.880,149.880,149.880,149.880,4800
26.03.2025 00:02:46.000,149.880,149.880,149.880,149.880,4800
26.03.2025 00:02:47.000,149.880,149.880,149.862,149.864,12539.999899999997
26.03.2025 00:02:48.000,149.863,149.865,149.863,149.865,2400
26.03.2025 00:02:49.000,149.862,149.863,149.862,149.863,4200
26.03.2025 00:02:50.000,149.867,149.867,149.863,149.863,6599.999999999999
26.03.2025 00:02:51.000,149.864,149.864,149.864,149.864,2400
26.03.2025 00:02:52.000,149.863,149.863,149.854,149.854,13500.0001
26.03.2025 00:02:53.000,149.863,149.863,149.854,149.854,13500.0001
26.03.2025 00:02:54.000,149.854,149.855,149.854,149.854,5999.999999999999
26.03.2025 00:02:55.000,149.854,149.854,149.853,149.854,4800
26.03.2025 00:02:56.000,149.853,149.854,149.853,149.854,3600
26.03.2025 00:02:57.000,149.854,149.854,149.854,149.854,4800
26.03.2025 00:02:58.000,149.854,149.855,149.854,149.855,5100
26.03.2025 00:02:59.000,149.858,149.858,149.857,149.857,4800
26.03.2025 00:03:00.000,149.857,149.858,149.857,149.858,3750
26.03.2025 00:03:01.000,149.859,149.859,149.859,149.859,1200
26.03.2025 00:03:02.000,149.859,149.859,149.859,149.859,1200
26.03.2025 00:03:03.000,149.859,149.859,149.858,149.858,3600
26.03.2025 00:03:04.000,149.859,149.859,149.858,149.858,3600
26.03.2025 00:03:05.000,149.855,149.856,149.854,149.854,10199.999999999998
26.03.2025 00:03:06.000,149.854,149.854,149.854,149.854,1200
26.03.2025 00:03:07.000,149.854,149.854,149.854,149.854,1200
26.03.2025 00:03:08.000,149.855,149.855,149.852,149.852,8400
26.03.2025 00:03:09.000,149.856,149.856,149.855,149.855,6900
26.03.2025 00:03:10.000,149.856,149.856,149.855,149.855,6900
26.03.2025 00:03:11.000,149.856,149.856,149.853,149.853,5100
26.03.2025 00:03:12.000,149.853,149.857,149.853,149.857,4200
26.03.2025 00:03:13.000,149.858,149.858,149.858,149.858,3600
