Gmt time,Open,High,Low,Close,Volume
26.03.2025 00:00:00.000,161.768,161.769,161.766,161.767,12599.999999999998
26.03.2025 00:00:01.000,161.762,161.762,161.759,161.759,7049.999999999999
26.03.2025 00:00:02.000,161.759,161.759,161.758,161.759,5999.999999999999
26.03.2025 00:00:03.000,161.762,161.768,161.762,161.766,7799.999999999999
26.03.2025 00:00:04.000,161.770,161.770,161.767,161.769,7199.999999999999
26.03.2025 00:00:05.000,161.771,161.773,161.771,161.773,7199.999999999999
26.03.2025 00:00:06.000,161.773,161.773,161.768,161.770,6599.999999999999
26.03.2025 00:00:07.000,161.770,161.771,161.770,161.771,7199.999999999999
26.03.2025 00:00:08.000,161.771,161.773,161.771,161.773,7200
26.03.2025 00:00:09.000,161.772,161.772,161.770,161.770,4200
26.03.2025 00:00:10.000,161.768,161.770,161.767,161.770,8400
26.03.2025 00:00:11.000,161.770,161.773,161.770,161.773,5399.999999999999
26.03.2025 00:00:12.000,161.773,161.773,161.769,161.769,7199.999999999999
26.03.2025 00:00:13.000,161.769,161.769,161.768,161.769,3600
26.03.2025 00:00:14.000,161.768,161.768,161.757,161.757,9899.999999999998
26.03.2025 00:00:15.000,161.757,161.758,161.756,161.756,9300.000000000002
26.03.2025 00:00:16.000,161.757,161.757,161.757,161.757,2400
26.03.2025 00:00:17.000,161.755,161.755,161.754,161.754,4800
26.03.2025 00:00:18.000,161.756,161.757,161.756,161.757,2400
26.03.2025 00:00:19.000,161.757,161.757,161.754,161.754,5999.999999999999
26.03.2025 00:00:20.000,161.754,161.754,161.754,161.754,3600
26.03.2025 00:00:21.000,161.754,161.754,161.754,161.754,1800
26.03.2025 00:00:22.000,161.754,161.754,161.754,161.754,1800
26.03.2025 00:00:23.000,161.754,161.754,161.754,161.754,1800
26.03.2025 00:00:24.000,161.753,161.755,161.753,161.755,6600
26.03.2025 00:00:25.000,161.755,161.755,161.755,161.755,1200
26.03.2025 00:00:26.000,161.756,161.756,161.756,161.756,1200
26.03.2025 00:00:27.000,161.755,161.755,161.755,161.755,1800
26.03.2025 00:00:28.000,161.755,161.755,161.755,161.755,1200
26.03.2025 00:00:29.000,161.754,161.755,161.754,161.755,3000
26.03.2025 00:00:30.000,161.751,161.751,161.743,161.743,8249.999999999998
26.03.2025 00:00:31.000,161.743,161.745,161.740,161.740,7799.999999999999
26.03.2025 00:00:32.000,161.739,161.739,161.737,161.739,4800
26.03.2025 00:00:33.000,161.739,161.739,161.732,161.732,7200
26.03.2025 00:00:34.000,161.732,161.733,161.732,161.733,3000
26.03.2025 00:00:35.000,161.731,161.731,161.728,161.730,8100
26.03.2025 00:00:36.000,161.727,161.727,161.726,161.727,6000
26.03.2025 00:00:37.000,161.728,161.728,161.728,161.728,1200
26.03.2025 00:00:38.000,161.729,161.729,161.728,161.728,3600
26.03.2025 00:00:39.000,161.729,161.730,161.728,161.728,4800
26.03.2025 00:00:40.000,161.729,161.730,161.729,161.730,2400
26.03.2025 00:00:41.000,161.729,161.730,161.729,161.730,3000
26.03.2025 00:00:42.000,161.729,161.729,161.726,161.726,7799.999999999999
26.03.2025 00:00:43.000,161.729,161.729,161.726,161.726,7799.999999999999
26.03.2025 00:00:44.000,161.724,161.724,161.702,161.705,13499.999999999998
26.03.2025 00:00:45.000,161.707,161.771,161.707,161.769,18000
26.03.2025 00:00:46.000,161.769,161.769,161.754,161.754,11250.0001
26.03.2025 00:00:47.000,161.753,161.754,161.753,161.753,4800
26.03.2025 00:00:48.000,161.753,161.754,161.751,161.754,4800
26.03.2025 00:00:49.000,161.749,161.753,161.749,161.753,3000
26.03.2025 00:00:50.000,161.755,161.765,161.748,161.765,14399.999999999998
26.03.2025 00:00:51.000,161.764,161.764,161.761,161.761,3600
26.03.2025 00:00:52.000,161.764,161.764,161.761,161.761,3600
26.03.2025 00:00:53.000,161.762,161.762,161.762,161.762,2400
26.03.2025 00:00:54.000,161.762,161.762,161.759,161.759,3600
26.03.2025 00:00:55.000,161.758,161.759,161.758,161.759,4500.000000000001
26.03.2025 00:00:56.000,161.759,161.759,161.758,161.758,4800
26.03.2025 00:00:57.000,161.763,161.764,161.763,161.764,2400
26.03.2025 00:00:58.000,161.761,161.763,161.759,161.759,9600.0001
26.03.2025 00:00:59.000,161.758,161.759,161.758,161.759,3600
26.03.2025 00:01:00.000,161.759,161.764,161.757,161.757,10350.0001
